X. Center of Geometry (µm)	Y. Center of Geometry (µm)	Z. Center of Geometry (µm)	Volume. Volume (µm³)	Mean. Intensities #1	SD. Intensities #1	Sphericity
25.84230442	275.3991212	54.51436674	22.76950485	34.26493185	8.483847378	0.629802995
11.34564564	268.8106415	54.79072466	26.64725223	29.12111133	7.444539984	0.648672302
17.7856291	276.3337582	55.24930054	21.93248686	30.67013452	6.361422178	0.642690568
38.14055631	282.6823324	54.94598608	20.20613727	34.48093941	8.563409861	0.655973601
18.09565185	291.5806667	55.29048148	15.00747089	32.12806967	4.989347812	0.628853966
15.26322874	256.7158339	57.13040219	25.0713043	38.91674372	10.27683264	0.645227477
14.17918721	279.2385182	57.21881749	11.14280191	29.18425635	4.94862435	0.634115384
27.60595519	272.6215425	57.79450708	30.49884279	37.58557786	9.16168001	0.638584201
38.40133272	286.9970073	58.35445555	21.40281142	34.1648331	6.535405697	0.654827728
34.56084662	274.4914223	58.36775689	26.8172715	37.42613674	9.77274229	0.638010871
4.887157718	260.2259597	60.50419799	21.43550743	33.73851847	8.139316719	0.636721346
12.53177428	285.3763338	61.61924126	18.51248369	28.15575659	5.625355408	0.641765001
16.37921359	260.4600291	61.56112621	11.45014445	38.07563437	4.636525229	0.6087922
8.377241998	271.0174834	61.84738319	21.86055563	28.92484704	6.835700713	0.653691549
23.86211853	265.48389	62.82900481	24.49585444	32.64816397	8.358057424	0.636009069
3.77719015	268.7251789	63.81421633	10.48888161	26.72121822	5.437841774	0.64460537
7.132920527	261.1633338	64.47160445	14.39932501	30.78648851	5.156828192	0.646539846
22.33722458	254.6458517	64.95905508	26.23528244	42.38458794	8.76386943	0.622337166
31.27826848	259.0424332	66.08253719	29.98224576	43.82215904	8.996101952	0.638602673
24.91761241	278.2107847	65.71227417	28.88365965	32.78217771	11.04647562	0.63692481
35.43291406	280.5735339	66.13646354	27.62159347	34.98796546	8.384718084	0.641456442
25.82343772	270.5977622	68.56957295	28.19050413	37.27676063	9.099808002	0.65288567
19.30501773	261.6108142	69.66032648	16.22376264	28.69613438	5.024035265	0.648810597
21.28156206	271.1994257	69.14141608	30.505382	40.56517348	10.73365121	0.641101594
11.84266428	270.1633157	69.97189863	21.93248686	31.48008509	6.736408323	0.651971298
37.37368563	269.1459553	69.73746956	26.20912562	31.53780944	9.071382751	0.640868594
17.73323636	276.889082	72.05291796	18.0939747	33.23507939	5.515801729	0.638834077
14.1990339	266.8412203	71.91561864	16.97577099	37.67543763	8.375037867	0.650609113
25.43255185	279.589597	72.59652192	15.51098952	31.41055711	8.38205394	0.653588936
2.984898734	263.4048368	73.87890665	24.79665778	32.58209814	7.166918817	0.599373228
26.20565044	274.5052434	73.67667611	14.77859878	37.44852098	6.675452639	0.644605347
32.00999429	260.7526253	74.28946186	25.20208836	27.84571245	6.333855734	0.642569641
36.34501914	255.9490527	75.02154702	23.57382682	30.37541398	8.45863507	0.633064516
15.42480189	290.0319151	76.58511321	11.78364381	22.76170175	4.55537209	0.629281629
6.128822214	257.741221	77.64093973	17.25041751	27.49189475	6.146544929	0.61552079
23.82963669	272.817112	77.53799111	18.39477804	41.60549166	8.415927547	0.657349962
14.44733791	283.4849478	78.53420879	26.18296881	24.0089771	6.091665473	0.620245074
34.32554151	271.6849123	78.87097818	32.06171231	43.74156571	11.66685934	0.650372749
28.76925699	272.5914678	78.99557108	10.76352814	38.56349054	6.271807907	0.654535873
16.87298579	288.8137944	81.31376445	20.7096559	25.99636926	5.873891066	0.630541964
8.482412222	256.0105682	82.97843072	24.39776639	28.46705126	5.602817184	0.628145098
30.0294378	280.3784841	81.84146111	23.28610188	44.74830877	10.41364233	0.63071224
10.55741176	203.6208922	250.9933627	22.677956	37.60233229	9.07607486	0.638244571
13.09327394	272.9779683	155.5386944	25.39826445	29.23766698	6.797722736	0.621703848
26.77789806	269.7204806	158.3760777	22.90028891	32.52237071	6.552453679	0.643892942
25.77497385	264.9234677	160.0640748	21.75592838	36.19393682	6.655784159	0.655567646
30.48875632	267.4461154	159.6579459	20.17998046	41.04836262	8.435679297	0.638267206
36.77507292	291.6046302	159.8378958	13.81079674	36.19237403	7.446198062	0.64406287
35.60776803	266.760958	160.5971839	17.13925106	36.57418679	7.46978481	0.621996161
37.46812003	275.3080604	161.466529	25.00591227	38.90862287	7.968670449	0.613369746
22.77074009	289.9441894	161.2756078	14.19007051	32.49550899	5.901240505	0.648456131
33.49534773	276.1548332	163.2118795	25.44403887	38.58859708	7.543059403	0.609139545
18.23329414	282.3117349	163.859565	14.62819711	31.9273056	6.393353596	0.641217063
5.476355281	258.9597932	163.9641139	19.06831595	23.51649325	5.991776106	0.655416694
28.75641575	266.4403249	163.99448	18.93753189	35.08952766	4.544275403	0.648969004
18.44144951	289.5366984	164.4649059	19.94456915	34.88908627	7.973449741	0.646168758
38.41347101	292.483029	164.7971377	9.926510154	34.08436478	4.953818528	0.629932503
23.09585018	290.6077888	165.8470596	10.86815539	31.84509504	5.408299222	0.630607598
24.93985718	265.0640649	167.016076	23.99233581	35.49374569	9.233931534	0.655872885
30.47589017	266.8505723	167.8296012	12.44410331	30.88148206	6.451510432	0.636910047
28.05480011	286.3845254	168.8840814	23.94656139	32.31322791	7.30190237	0.64043331
17.67826185	267.7947257	169.0279476	23.59998363	32.19210185	6.950979768	0.642838846
38.43182665	292.2030008	170.0224951	8.638287163	29.76423405	5.262390166	0.626041401
35.4594253	289.7207151	171.5174257	15.97527293	34.93616335	6.740612319	0.645951631
33.83514207	267.1504063	171.3746337	29.59643278	37.04048954	7.848863093	0.667611036
20.89585302	268.9521327	172.2160191	18.81982623	29.15376041	5.398866115	0.632082395
25.95381377	276.1812762	172.2786483	17.6623873	32.55274754	6.13802224	0.626953869
36.0732223	261.7283991	172.4045542	27.44503499	38.36913109	7.162396793	0.639369149
37.63858785	257.1947981	172.9133799	25.7186854	42.88508975	9.085583539	0.63020068
29.22349275	280.7740634	174.059329	18.04820028	28.38761867	6.139337313	0.642059548
25.33012756	287.5801811	174.4539745	13.0718668	25.43615197	5.292278497	0.653669002
13.76134963	269.8329817	176.9020561	21.80824201	28.08303129	6.113621175	0.616845832
27.30605088	258.7599076	176.4444859	25.96063591	36.11386102	7.837714851	0.658245911
29.77876767	283.0571848	178.2331024	27.38618216	37.905107	8.885226874	0.651700734
25.79561517	264.2982088	178.9100743	16.72074207	33.96995954	5.973207321	0.655277903
34.48249549	276.6006775	179.3383833	22.48831912	34.38284658	5.79710362	0.643578926
15.8473672	255.9440827	180.9379682	31.85899702	34.63559106	9.242167037	0.671406125
21.60362909	288.2578178	181.9014031	12.99339636	26.77344434	5.698257788	0.622421142
27.35662921	261.0168212	181.9412748	20.36961735	35.47634119	8.423992689	0.659507
32.51867831	262.1451964	182.5289959	27.34040774	34.37594412	7.5983938	0.623177029
9.490127038	260.9794527	182.9854513	24.86204981	28.85144666	6.078787756	0.643033201
38.60829002	275.964776	183.6433644	21.28510577	33.97877335	7.002321849	0.651624166
16.41130967	279.341904	183.6380304	20.63118547	31.42331068	8.015177831	0.649363472
18.43352216	284.2680443	184.5012168	10.77006734	25.51874318	5.525005781	0.627974838
36.27403773	204.3660183	294.1565085	25.30671561	33.45280974	8.097283414	0.665945063
39.70622084	197.7126154	297.070402	28.9882869	39.41626066	7.487807324	0.650556494
35.64239577	197.8831532	302.3567421	28.73325798	29.41195035	8.353570512	0.67429886
29.18450664	207.8277568	305.4885282	28.5501603	35.60283101	6.47473149	0.655088087
39.10742551	201.9760572	317.7593119	34.19349249	32.39864455	7.529082328	0.635645933
34.64482048	204.188065	258.541325	19.41489371	34.69048588	6.827375581	0.62750115
30.1560003	197.7317972	261.3372819	21.73631077	33.22564442	9.382091443	0.633591312
8.025023301	194.2283216	264.2976301	26.94151636	32.0334468	6.982425873	0.647313066
22.39783136	202.9030551	264.0112961	30.36151953	33.6091602	10.47102173	0.643976907
9.188239264	207.5468504	264.3719465	29.84492249	36.67808951	7.359293091	0.659366259
17.0165578	200.8306301	265.7011069	24.88820662	28.44829918	5.852645248	0.629734475
17.0985538	206.0212154	268.7726452	29.83838329	32.22800516	7.242688255	0.640851032
6.470297454	201.9935468	270.0762024	32.62408377	34.795012	9.648134555	0.639480626
21.10619191	202.9317063	278.8222988	25.38518605	36.43649534	7.908042196	0.657043212
39.41076254	203.7362165	279.1081652	28.03356326	40.58161027	9.33903985	0.655135039
15.71445218	201.8518977	280.0822497	21.60552671	40.29470981	7.683844863	0.654933069
34.14043521	278.3350333	325.9150749	22.35753506	37.24871564	8.194056616	0.623597249
38.48333771	288.6301538	325.9362003	32.35597644	35.66822943	10.69834862	0.653128736
31.56233702	259.3524367	326.4290385	14.76552037	33.05353066	6.179373492	0.598804813
37.90766038	262.1827862	326.0281006	17.67546571	39.57202548	7.139360672	0.667415314
34.02866816	290.8914442	326.3959413	19.03561993	33.40231012	6.269269122	0.642717663
24.65562789	266.7618098	326.1331185	27.71314231	35.34444994	9.775216206	0.644181002
32.22633333	263.3311548	328.1114408	20.6965775	38.77739406	7.646800914	0.632571168
35.36195106	259.9704937	328.8036631	15.09901973	36.97953479	5.447520795	0.64196427
14.5436053	284.1996903	329.5131355	26.39222331	33.83446569	6.696102695	0.61913645
36.37715436	255.2637471	330.9605099	19.57183458	32.80067308	6.157031094	0.640534526
27.04730138	268.6554017	332.3254339	28.03356326	32.44291905	8.282944986	0.638740268
27.55384247	280.5635978	332.9531147	20.63118547	29.40874867	7.716596352	0.652622511
25.48160748	254.8043339	333.0994067	15.72678322	30.16728505	5.203592882	0.633636633
31.40130288	262.5698665	333.4131137	20.46770539	32.53109775	6.493794288	0.649170385
11.88910335	282.7303124	333.5061139	25.37210764	31.24570422	7.034452125	0.639921893
3.778993912	267.2862821	334.1412963	12.88876911	27.04488068	5.32490468	0.593925408
9.494965129	256.8523251	334.2864268	24.37814878	39.7369457	11.34971837	0.65100842
22.74977361	291.0335417	334.5213158	11.84249663	29.31014306	5.389830428	0.633602239
25.80654531	264.7734594	334.8452705	29.15176697	37.55589125	8.128293942	0.63650057
1.945761804	262.3064452	335.3198541	15.51098952	30.31697189	5.44481402	0.64380467
16.27839837	259.9667642	335.2213415	8.847541659	33.71509295	5.974858703	0.621411149
7.712747664	267.1741682	335.769243	11.89481026	23.26248585	5.269995159	0.636589538
19.99619178	261.5174102	335.9682177	18.13974912	38.96437601	8.727014695	0.653041914
6.153247339	263.3420932	337.8519208	15.36058785	28.13962435	5.818691063	0.638680057
39.16402452	280.1033413	337.8833437	27.73929913	38.68853165	10.49347644	0.660029488
22.79651238	288.9746637	338.9323933	16.64227164	32.91269753	6.275232451	0.649461158
19.25736827	278.780203	339.6089938	17.84548499	25.57706463	5.348921301	0.639833229
28.63581108	270.7948241	340.7572036	22.6714168	32.36407045	6.556358243	0.652402575
38.75982191	276.2620236	341.1965843	21.84747722	36.47459052	9.80653586	0.661428731
25.44125132	254.6271438	342.0079512	19.8268635	29.95343841	5.345910864	0.640369212
18.63378755	254.8723723	342.876338	24.37814878	40.29037506	9.311968356	0.667451802
38.13447541	272.0094426	343.8388115	27.12461404	30.01283108	6.375512228	0.655018742
37.38484662	292.2008862	344.6023244	30.09995141	30.39581327	7.813281609	0.653403549
26.02051298	273.0028596	344.7963674	16.62265403	36.33330921	6.094961951	0.642470427
22.23106073	270.9364793	345.0795918	18.95061029	39.9273395	9.918576301	0.65532759
28.46947537	258.6591566	345.5740264	14.87014762	31.69981153	7.146806022	0.651297495
31.86772219	274.6299452	345.4351666	24.10350226	32.69962156	6.944903018	0.641797456
11.41576074	265.8869356	345.7865184	23.44958196	33.75712425	8.264863276	0.654148616
24.58883218	261.893534	345.9932952	17.96319064	43.63435313	7.239289168	0.648797535
32.93650302	288.7083224	346.4310989	19.51298175	34.37515658	7.418325432	0.653418326
36.59682543	265.6958398	346.7270906	31.31624317	35.77639684	10.06159186	0.654900314
